CMDLINE /Library/Frameworks/Python.framework/Versions/3.8/bin/python3.8 AlphaZeroTrainMultithread.py
MEM 0.285156 1605271921.4506
MEM 15.285156 1605271921.5545
MEM 25.843750 1605271921.6611
MEM 38.128906 1605271921.7665
MEM 41.933594 1605271921.8733
MEM 50.882812 1605271921.9787
MEM 51.863281 1605271922.0813
MEM 52.480469 1605271922.1844
MEM 62.027344 1605271922.2892
MEM 77.406250 1605271922.3958
MEM 97.460938 1605271922.5020
MEM 106.542969 1605271922.6061
MEM 121.886719 1605271922.7091
MEM 128.632812 1605271922.8172
MEM 134.417969 1605271922.9219
MEM 139.304688 1605271923.0273
MEM 142.503906 1605271923.1381
MEM 148.601562 1605271923.2452
MEM 153.589844 1605271923.3500
MEM 160.707031 1605271923.4567
MEM 163.089844 1605271923.5607
MEM 166.933594 1605271923.6640
MEM 172.421875 1605271923.7676
MEM 176.613281 1605271923.8714
MEM 180.226562 1605271923.9762
MEM 183.031250 1605271924.0797
MEM 186.695312 1605271924.1834
MEM 189.984375 1605271924.2870
MEM 194.773438 1605271924.3956
MEM 198.050781 1605271924.5025
MEM 202.695312 1605271924.6069
MEM 205.953125 1605271924.7128
MEM 210.117188 1605271924.8179
MEM 214.214844 1605271924.9252
MEM 217.925781 1605271925.0308
MEM 222.113281 1605271925.1385
MEM 227.007812 1605271925.2460
MEM 230.367188 1605271925.3499
MEM 232.617188 1605271925.4535
MEM 234.101562 1605271925.5593
MEM 237.441406 1605271925.6643
MEM 259.839844 1605271925.7696
MEM 271.800781 1605271925.8763
MEM 281.898438 1605271925.9791
MEM 282.207031 1605271926.0832
MEM 282.488281 1605271926.1869
MEM 244.601562 1605271926.2939
MEM 244.609375 1605271926.4023
MEM 242.386719 1605271926.5098
